epoch,global_step,train_images_seen,train_dataset_images,validation_images_used,validation_total_images,train_loss,val_loss,running_loss,learning_rate,epoch_minutes,elapsed_minutes
1,2612,10448,10448,256,1306,0.1857737806863843,0.19440894542913156,0.17416677113267304,8e-06,109.55294143003333,109.55298259381668
2,5224,10448,10448,256,1306,0.18770386638827088,0.19484301420015981,0.18785273078642076,8e-06,107.60589036574999,217.15888582385003
3,7836,10448,10448,256,1306,0.18597331646674564,0.19457611089092097,0.19038447461425181,8e-06,107.98487319573333,325.1437684792333
