global_step,epoch,loss,lr
1,1,0.38291114568710327,0.0001
2,1,0.0037926542572677135,0.0001
3,1,0.08815645426511765,0.0001
4,1,0.010406778194010258,0.0001
5,1,0.09989523887634277,0.0001
6,1,0.35145121812820435,0.0001
7,1,0.10201548039913177,0.0001
8,1,0.42212286591529846,0.0001
9,1,0.4043242931365967,0.0001
10,1,0.0039207832887768745,0.0001
11,1,0.02386905811727047,0.0001
12,1,0.2372129261493683,0.0001
13,1,0.005275039933621883,0.0001
14,1,0.01334293931722641,0.0001
15,1,0.06612081825733185,0.0001
16,1,0.0024685633834451437,0.0001
17,1,0.3711795508861542,0.0001
18,1,0.06763998419046402,0.0001
19,1,0.00573646929115057,0.0001
20,1,0.017068499699234962,0.0001
21,1,0.012777609750628471,0.0001
22,1,0.3490522503852844,0.0001
23,1,0.011883381754159927,0.0001
24,1,0.5655086040496826,0.0001
25,1,0.3311571478843689,0.0001
26,1,0.3968762159347534,0.0001
27,1,0.010178551077842712,0.0001
28,1,0.17621192336082458,0.0001
29,1,0.04070545732975006,0.0001
30,1,0.27269136905670166,0.0001
31,1,0.34957343339920044,0.0001
32,1,0.026933785527944565,0.0001
33,1,0.38363927602767944,0.0001
34,1,0.3700588345527649,0.0001
35,1,0.3296584486961365,0.0001
36,1,0.18915104866027832,0.0001
37,1,0.016952097415924072,0.0001
38,1,0.00279819848947227,0.0001
39,1,0.32793688774108887,0.0001
40,1,0.009738463908433914,0.0001
41,1,0.11972520500421524,0.0001
42,1,0.013346662744879723,0.0001
43,1,0.04772736877202988,0.0001
44,1,0.0025217607617378235,0.0001
45,1,0.3350127339363098,0.0001
46,1,0.24477064609527588,0.0001
47,1,0.00506852101534605,0.0001
48,1,0.05993752181529999,0.0001
49,1,0.023754501715302467,0.0001
50,1,0.20700916647911072,0.0001
51,1,0.302947461605072,0.0001
52,1,0.1994735598564148,0.0001
53,1,0.36967045068740845,0.0001
54,1,0.10386158525943756,0.0001
55,1,0.14725211262702942,0.0001
56,1,0.012976611033082008,0.0001
57,1,0.06749437749385834,0.0001
58,1,0.0023462167009711266,0.0001
59,1,0.42929667234420776,0.0001
60,1,0.045557036995887756,0.0001
61,1,0.3674848675727844,0.0001
62,1,0.15143625438213348,0.0001
63,1,0.04998622089624405,0.0001
64,1,0.013133855536580086,0.0001
65,1,0.0919586569070816,0.0001
66,1,0.1695556938648224,0.0001
67,1,0.06323152035474777,0.0001
68,1,0.31845682859420776,0.0001
69,1,0.03735169395804405,0.0001
70,1,0.14276009798049927,0.0001
71,1,0.03474300354719162,0.0001
72,1,0.00451071560382843,0.0001
73,1,0.19594796001911163,0.0001
74,1,0.07635600864887238,0.0001
75,1,0.1886722594499588,0.0001
76,1,0.009912245906889439,0.0001
77,1,0.39080119132995605,0.0001
78,1,0.02456994354724884,0.0001
79,1,0.017493199557065964,0.0001
80,1,0.004170846194028854,0.0001
81,1,0.12055036425590515,0.0001
82,1,0.004279306158423424,0.0001
83,1,0.027618207037448883,0.0001
84,1,0.34470242261886597,0.0001
85,1,0.010473394766449928,0.0001
86,1,0.2641974091529846,0.0001
87,1,0.003487708978354931,0.0001
88,1,0.3403669595718384,0.0001
89,1,0.18241316080093384,0.0001
90,1,0.020369136705994606,0.0001
91,1,0.405056893825531,0.0001
92,1,0.013246878050267696,0.0001
93,1,0.4460536241531372,0.0001
94,1,0.38665634393692017,0.0001
95,1,0.06642782688140869,0.0001
96,1,0.40132856369018555,0.0001
97,1,0.2997564375400543,0.0001
98,1,0.3931199014186859,0.0001
99,1,0.025835871696472168,0.0001
100,1,0.4030173420906067,0.0001
101,1,0.007776367012411356,0.0001
102,1,0.11695835739374161,0.0001
103,1,0.08946288377046585,0.0001
104,1,0.326646089553833,0.0001
105,1,0.06274105608463287,0.0001
106,1,0.045146048069000244,0.0001
107,1,0.08124963939189911,0.0001
108,1,0.16170066595077515,0.0001
109,1,0.002982715144753456,0.0001
110,1,0.002628019545227289,0.0001
111,1,0.07340133935213089,0.0001
112,1,0.37172752618789673,0.0001
113,1,0.03547050803899765,0.0001
114,1,0.0018865724559873343,0.0001
115,1,0.07740624994039536,0.0001
116,1,0.041778966784477234,0.0001
117,1,0.40848228335380554,0.0001
118,1,0.3023335337638855,0.0001
119,1,0.028006616979837418,0.0001
120,1,0.007055304944515228,0.0001
121,1,0.045383304357528687,0.0001
122,1,0.05447443574666977,0.0001
123,1,0.013680532574653625,0.0001
124,1,0.06457914412021637,0.0001
125,1,0.36012470722198486,0.0001
126,2,0.1603226661682129,0.0001
127,2,0.04047304391860962,0.0001
128,2,0.07359377294778824,0.0001
129,2,0.41241347789764404,0.0001
130,2,0.08206921815872192,0.0001
131,2,0.3783446252346039,0.0001
132,2,0.3074822425842285,0.0001
133,2,0.25918740034103394,0.0001
134,2,0.003906571306288242,0.0001
135,2,0.16223421692848206,0.0001
136,2,0.40584757924079895,0.0001
137,2,0.1356625109910965,0.0001
138,2,0.03934857249259949,0.0001
139,2,0.1301446557044983,0.0001
140,2,0.027896471321582794,0.0001
141,2,0.04580385982990265,0.0001
142,2,0.016775626689195633,0.0001
143,2,0.006476748269051313,0.0001
144,2,0.019903313368558884,0.0001
145,2,0.4330987334251404,0.0001
146,2,0.36942392587661743,0.0001
147,2,0.28573286533355713,0.0001
148,2,0.16569656133651733,0.0001
149,2,0.3177890479564667,0.0001
150,2,0.39353397488594055,0.0001
151,2,0.11507733911275864,0.0001
152,2,0.0604395866394043,0.0001
153,2,0.004491922911256552,0.0001
154,2,0.004760437645018101,0.0001
155,2,0.38415125012397766,0.0001
156,2,0.43297791481018066,0.0001
157,2,0.12201325595378876,0.0001
158,2,0.3834318518638611,0.0001
159,2,0.402202844619751,0.0001
160,2,0.0354497954249382,0.0001
161,2,0.42990076541900635,0.0001
162,2,0.04151010140776634,0.0001
163,2,0.4090976417064667,0.0001
164,2,0.01593935117125511,0.0001
165,2,0.2527599334716797,0.0001
166,2,0.36905670166015625,0.0001
167,2,0.0136687271296978,0.0001
168,2,0.31635352969169617,0.0001
169,2,0.009608488529920578,0.0001
170,2,0.01352960616350174,0.0001
171,2,0.18718528747558594,0.0001
172,2,0.023792557418346405,0.0001
173,2,0.26990213990211487,0.0001
174,2,0.11323131620883942,0.0001
175,2,0.32691335678100586,0.0001
176,2,0.006260090507566929,0.0001
177,2,0.516953706741333,0.0001
178,2,0.140971839427948,0.0001
179,2,0.18367931246757507,0.0001
180,2,0.04107558727264404,0.0001
181,2,0.003660566406324506,0.0001
182,2,0.0032348039094358683,0.0001
183,2,0.03706304356455803,0.0001
